LECROYWR640Zi	640	Waveform
Segments	1	SegmentSize	25002
Segment	TrigTime	TimeSinceSegment1
#1	08-Nov-2019 23:30:53	0                 
Time	Ampl
-2.6603363e-006	-0.0109252
-2.6599363e-006	-0.000731159
-2.6595363e-006	-0.000731159
-2.6591363e-006	-0.000731159
-2.6587363e-006	-0.000731159
-2.6583363e-006	0.00946288
-2.6579363e-006	-0.000731159
-2.6575363e-006	-0.000731159
-2.6571363e-006	-0.0211192
-2.6567363e-006	-0.000731159
-2.6563363e-006	-0.000731159
-2.6559363e-006	-0.0109252
-2.6555363e-006	-0.0211192
-2.6551363e-006	-0.000731159
-2.6547363e-006	-0.000731159
-2.6543363e-006	0.00946288
-2.6539363e-006	-0.0109252
-2.6535363e-006	0.00946288
-2.6531363e-006	0.00946288
-2.6527363e-006	-0.000731159
-2.6523363e-006	-0.0109252
-2.6519363e-006	0.0196569
-2.6515363e-006	-0.000731159
-2.6511363e-006	-0.000731159
-2.6507363e-006	-0.000731159
-2.6503363e-006	-0.0109252
-2.6499363e-006	-0.000731159
-2.6495363e-006	-0.0109252
-2.6491363e-006	-0.0211192
-2.6487363e-006	-0.000731159
-2.6483363e-006	-0.000731159
-2.6479363e-006	0.00946288
-2.6475363e-006	-0.0211192
-2.6471363e-006	-0.000731159
-2.6467363e-006	-0.000731159
-2.6463363e-006	0.00946288
-2.6459363e-006	-0.0109252
-2.6455363e-006	0.0196569
-2.6451363e-006	0.00946288
-2.6447363e-006	0.029851
-2.6443363e-006	0.00946288
-2.6439363e-006	0.00946288
-2.6435363e-006	0.00946288
-2.6431363e-006	-0.000731159
-2.6427363e-006	-0.000731159
-2.6423363e-006	-0.0109252
-2.6419363e-006	-0.0109252
-2.6415363e-006	0.00946288
-2.6411363e-006	-0.0109252
-2.6407363e-006	-0.0109252
-2.6403363e-006	-0.000731159
-2.6399363e-006	-0.000731159
-2.6395363e-006	-0.0109252
-2.6391363e-006	0.0196569
-2.6387363e-006	-0.0109252
-2.6383363e-006	0.029851
-2.6379363e-006	-0.0109252
-2.6375363e-006	-0.000731159
-2.6371363e-006	-0.000731159
-2.6367363e-006	-0.0109252
-2.6363363e-006	-0.0313133
-2.6359363e-006	-0.0109252
-2.6355363e-006	-0.000731159
-2.6351363e-006	-0.0109252
-2.6347363e-006	-0.000731159
-2.6343363e-006	0.00946288
-2.6339363e-006	-0.000731159
-2.6335363e-006	-0.000731159
-2.6331363e-006	-0.000731159
-2.6327363e-006	0.0196569
-2.6323363e-006	-0.0109252
-2.6319363e-006	0.0196569
-2.6315363e-006	-0.0109252
-2.6311363e-006	0.00946288
-2.6307363e-006	0.00946288
-2.6303363e-006	-0.0109252
-2.6299363e-006	-0.0109252
-2.6295363e-006	-0.000731159
-2.6291363e-006	0.00946288
-2.6287363e-006	0.00946288
-2.6283363e-006	-0.000731159
-2.6279363e-006	-0.0109252
-2.6275363e-006	-0.0109252
-2.6271363e-006	-0.000731159
-2.6267363e-006	-0.000731159
-2.6263363e-006	-0.0109252
-2.6259363e-006	-0.0109252
-2.6255363e-006	0.00946288
-2.6251363e-006	-0.0109252
-2.6247363e-006	-0.0109252
-2.6243363e-006	-0.000731159
-2.6239363e-006	-0.000731159
-2.6235363e-006	-0.000731159
-2.6231363e-006	0.00946288
-2.6227363e-006	0.00946288
-2.6223363e-006	0.00946288
-2.6219363e-006	-0.0211192
-2.6215363e-006	-0.0109252
-2.6211363e-006	-0.0211192
-2.6207363e-006	-0.000731159
-2.6203363e-006	-0.0109252
-2.6199363e-006	-0.000731159
-2.6195363e-006	-0.000731159
-2.6191363e-006	-0.000731159
-2.6187363e-006	-0.0211192
-2.6183363e-006	-0.0109252
-2.6179363e-006	-0.0109252
-2.6175363e-006	-0.0109252
-2.6171363e-006	-0.0109252
-2.6167363e-006	-0.0109252
-2.6163363e-006	-0.0109252
-2.6159363e-006	0.00946288
-2.6155363e-006	-0.0211192
-2.6151363e-006	-0.0109252
-2.6147363e-006	-0.0109252
-2.6143363e-006	-0.0109252
-2.6139363e-006	-0.000731159
-2.6135363e-006	0.00946288
-2.6131363e-006	-0.000731159
-2.6127363e-006	0.00946288
-2.6123363e-006	-0.000731159
-2.6119363e-006	-0.0109252
-2.6115363e-006	-0.000731159
-2.6111363e-006	-0.0109252
-2.6107363e-006	-0.0109252
-2.6103363e-006	-0.000731159
