LECROYWR640Zi	640	Waveform
Segments	1	SegmentSize	25001
Segment	TrigTime	TimeSinceSegment1
#1	08-Nov-2019 23:30:53	0                 
Time	Ampl
-2.660031e-006	-0.000731159
-2.659631e-006	-0.000731159
-2.659231e-006	-0.000731159
-2.658831e-006	0.00946288
-2.658431e-006	-0.0109252
-2.658031e-006	-0.000731159
-2.657631e-006	-0.0109252
-2.657231e-006	0.00946288
-2.656831e-006	-0.000731159
-2.656431e-006	0.0196569
-2.656031e-006	-0.0109252
-2.655631e-006	-0.000731159
-2.655231e-006	-0.0109252
-2.654831e-006	-0.0109252
-2.654431e-006	-0.0109252
-2.654031e-006	-0.000731159
-2.653631e-006	-0.000731159
-2.653231e-006	-0.0109252
-2.652831e-006	-0.0109252
-2.652431e-006	-0.000731159
-2.652031e-006	-0.0211192
-2.651631e-006	-0.0109252
-2.651231e-006	-0.0109252
-2.650831e-006	-0.0109252
-2.650431e-006	-0.0109252
-2.650031e-006	-0.000731159
-2.649631e-006	-0.0109252
-2.649231e-006	0.00946288
-2.648831e-006	-0.0109252
-2.648431e-006	-0.0109252
-2.648031e-006	0.00946288
-2.647631e-006	-0.000731159
-2.647231e-006	-0.000731159
-2.646831e-006	-0.000731159
-2.646431e-006	0.0196569
-2.646031e-006	0.00946288
-2.645631e-006	-0.000731159
-2.645231e-006	0.00946288
-2.644831e-006	-0.000731159
-2.644431e-006	-0.000731159
-2.644031e-006	-0.000731159
-2.643631e-006	-0.0109252
-2.643231e-006	-0.000731159
-2.642831e-006	0.00946288
-2.642431e-006	-0.0109252
-2.642031e-006	-0.0109252
-2.641631e-006	-0.0109252
-2.641231e-006	-0.000731159
-2.640831e-006	-0.000731159
-2.640431e-006	-0.0109252
-2.640031e-006	-0.000731159
-2.639631e-006	-0.000731159
-2.639231e-006	-0.0109252
-2.638831e-006	-0.0109252
-2.638431e-006	-0.000731159
-2.638031e-006	-0.000731159
-2.637631e-006	-0.000731159
-2.637231e-006	0.00946288
-2.636831e-006	0.00946288
-2.636431e-006	-0.000731159
-2.636031e-006	-0.000731159
-2.635631e-006	-0.0109252
-2.635231e-006	-0.0109252
-2.634831e-006	0.00946288
-2.634431e-006	-0.0109252
-2.634031e-006	-0.0109252
-2.633631e-006	-0.0211192
-2.633231e-006	-0.000731159
-2.632831e-006	-0.0211192
-2.632431e-006	-0.0109252
-2.632031e-006	-0.0109252
-2.631631e-006	-0.0109252
-2.631231e-006	-0.0109252
-2.630831e-006	0.0196569
-2.630431e-006	-0.000731159
-2.630031e-006	-0.0109252
-2.629631e-006	-0.0109252
-2.629231e-006	0.00946288
-2.628831e-006	-0.000731159
-2.628431e-006	-0.000731159
-2.628031e-006	-0.000731159
-2.627631e-006	0.00946288
-2.627231e-006	-0.000731159
-2.626831e-006	0.0196569
-2.626431e-006	0.00946288
-2.626031e-006	-0.000731159
-2.625631e-006	-0.000731159
-2.625231e-006	-0.000731159
-2.624831e-006	-0.0109252
-2.624431e-006	-0.000731159
-2.624031e-006	-0.000731159
-2.623631e-006	-0.000731159
-2.623231e-006	-0.000731159
-2.622831e-006	0.00946288
-2.622431e-006	0.0196569
-2.622031e-006	-0.000731159
-2.621631e-006	-0.0109252
-2.621231e-006	-0.000731159
-2.620831e-006	-0.0109252
-2.620431e-006	-0.000731159
-2.620031e-006	-0.000731159
-2.619631e-006	-0.0109252
-2.619231e-006	-0.0109252
-2.618831e-006	-0.0109252
-2.618431e-006	-0.0109252
-2.618031e-006	-0.000731159
-2.617631e-006	-0.0109252
-2.617231e-006	0.00946288
-2.616831e-006	-0.0313133
-2.616431e-006	-0.0109252
-2.616031e-006	-0.0211192
-2.615631e-006	-0.000731159
-2.615231e-006	-0.0109252
-2.614831e-006	0.00946288
-2.614431e-006	-0.000731159
-2.614031e-006	-0.000731159
-2.613631e-006	-0.0109252
-2.613231e-006	-0.000731159
-2.612831e-006	0.00946288
-2.612431e-006	-0.000731159
-2.612031e-006	-0.000731159
-2.611631e-006	-0.000731159
-2.611231e-006	-0.000731159
-2.610831e-006	-0.000731159
-2.610431e-006	-0.000731159
-2.610031e-006	-0.0109252
-2.609631e-006	-0.0109252
-2.609231e-006	-0.0109252
-2.608831e-006	-0.0211192
-2.608431e-006	0.00946288
-2.608031e-006	-0.000731159
-2.607631e-006	0.00946288
-2.607231e-006	-0.000731159
-2.606831e-006	-0.0109252
-2.606431e-006	-0.000731159
-2.606031e-006	-0.000731159
-2.605631e-006	-0.0109252
-2.605231e-006	-0.000731159
-2.604831e-006	-0.000731159
-2.604431e-006	0.00946288
-2.604031e-006	-0.0211192
-2.603631e-006	0.00946288
-2.603231e-006	0.00946288
-2.602831e-006	-0.0109252
-2.602431e-006	-0.0109252
-2.602031e-006	-0.000731159
-2.601631e-006	0.00946288
-2.601231e-006	0.00946288
-2.600831e-006	-0.000731159
-2.600431e-006	-0.0109252
-2.600031e-006	-0.0109252
-2.599631e-006	-0.000731159
-2.599231e-006	-0.0109252
-2.598831e-006	-0.0109252
-2.598431e-006	0.0196569
-2.598031e-006	-0.000731159
-2.597631e-006	-0.000731159
-2.597231e-006	-0.000731159
-2.596831e-006	0.0196569
-2.596431e-006	0.00946288
-2.596031e-006	-0.000731159
-2.595631e-006	0.0196569
-2.595231e-006	0.00946288
-2.594831e-006	0.0196569
-2.594431e-006	0.00946288
-2.594031e-006	-0.0109252
-2.593631e-006	-0.000731159
-2.593231e-006	-0.000731159
-2.592831e-006	-0.0313133
-2.592431e-006	0.00946288
-2.592031e-006	-0.000731159
-2.591631e-006	-0.000731159
-2.591231e-006	-0.0211192
-2.590831e-006	-0.0109252
-2.590431e-006	0.00946288
-2.590031e-006	-0.000731159
-2.589631e-006	-0.000731159
-2.589231e-006	-0.000731159
-2.588831e-006	0.00946288
-2.588431e-006	0.00946288
-2.588031e-006	-0.000731159
-2.587631e-006	-0.0109252
-2.587231e-006	0.00946288
-2.586831e-006	0.0196569
-2.586431e-006	-0.000731159
-2.586031e-006	-0.000731159
-2.585631e-006	0.00946288
-2.585231e-006	0.00946288
-2.584831e-006	-0.0109252
-2.584431e-006	-0.000731159
-2.584031e-006	-0.000731159
-2.583631e-006	-0.0109252
-2.583231e-006	0.00946288
-2.582831e-006	-0.000731159
-2.582431e-006	0.00946288
-2.582031e-006	0.00946288
-2.581631e-006	-0.0109252
-2.581231e-006	-0.000731159
-2.580831e-006	-0.0109252
-2.580431e-006	0.00946288
-2.580031e-006	-0.000731159
-2.579631e-006	-0.000731159
-2.579231e-006	0.00946288
-2.578831e-006	0.0196569
-2.578431e-006	-0.000731159
-2.578031e-006	0.00946288
-2.577631e-006	-0.0109252
-2.577231e-006	-0.000731159
-2.576831e-006	-0.000731159
-2.576431e-006	0.00946288
-2.576031e-006	-0.000731159
-2.575631e-006	0.00946288
-2.575231e-006	0.00946288
-2.574831e-006	-0.0109252
-2.574431e-006	-0.000731159
-2.574031e-006	0.00946288
-2.573631e-006	-0.0109252
-2.573231e-006	-0.000731159
-2.572831e-006	-0.0109252
-2.572431e-006	-0.000731159
-2.572031e-006	-0.000731159
-2.571631e-006	0.00946288
-2.571231e-006	-0.000731159
-2.570831e-006	-0.000731159
-2.570431e-006	-0.0109252
-2.570031e-006	-0.000731159
-2.569631e-006	0.00946288
-2.569231e-006	0.0196569
-2.568831e-006	-0.0211192
-2.568431e-006	0.00946288
-2.568031e-006	-0.000731159
-2.567631e-006	-0.0109252
-2.567231e-006	-0.000731159
-2.566831e-006	0.029851
-2.566431e-006	0.00946288
-2.566031e-006	0.00946288
-2.565631e-006	-0.0109252
-2.565231e-006	0.00946288
-2.564831e-006	0.0196569
-2.564431e-006	0.00946288
-2.564031e-006	-0.000731159
-2.563631e-006	0.00946288
-2.563231e-006	-0.000731159
-2.562831e-006	0.00946288
-2.562431e-006	-0.0211192
-2.562031e-006	-0.0211192
-2.561631e-006	-0.000731159
-2.561231e-006	-0.000731159
-2.560831e-006	-0.0109252
-2.560431e-006	-0.000731159
-2.560031e-006	-0.000731159
-2.559631e-006	-0.0109252
-2.559231e-006	-0.000731159
-2.558831e-006	-0.000731159
-2.558431e-006	-0.000731159
-2.558031e-006	-0.000731159
-2.557631e-006	-0.000731159
-2.557231e-006	-0.0109252
-2.556831e-006	-0.000731159
-2.556431e-006	0.0196569
-2.556031e-006	-0.0211192
-2.555631e-006	-0.0109252
-2.555231e-006	0.0196569
-2.554831e-006	-0.0109252
-2.554431e-006	-0.0109252
-2.554031e-006	-0.0109252
-2.553631e-006	-0.000731159
-2.553231e-006	-0.000731159
-2.552831e-006	-0.000731159
-2.552431e-006	-0.000731159
-2.552031e-006	0.00946288
-2.551631e-006	-0.000731159
-2.551231e-006	-0.0109252
-2.550831e-006	-0.000731159
-2.550431e-006	0.00946288
-2.550031e-006	-0.000731159
-2.549631e-006	-0.0109252
-2.549231e-006	-0.0109252
-2.548831e-006	-0.0109252
-2.548431e-006	-0.0109252
-2.548031e-006	-0.000731159
-2.547631e-006	0.0196569
-2.547231e-006	-0.000731159
-2.546831e-006	-0.000731159
-2.546431e-006	-0.000731159
-2.546031e-006	-0.000731159
-2.545631e-006	-0.000731159
-2.545231e-006	-0.0109252
-2.544831e-006	-0.000731159
-2.544431e-006	-0.000731159
-2.544031e-006	-0.000731159
-2.543631e-006	-0.0109252
-2.543231e-006	-0.0109252
-2.542831e-006	-0.000731159
-2.542431e-006	-0.0109252
-2.542031e-006	-0.0109252
-2.541631e-006	-0.000731159
-2.541231e-006	-0.000731159
-2.540831e-006	-0.000731159
-2.540431e-006	0.00946288
-2.540031e-006	-0.0109252
-2.539631e-006	0.00946288
-2.539231e-006	0.00946288
-2.538831e-006	-0.0109252
-2.538431e-006	-0.0109252
-2.538031e-006	-0.0109252
-2.537631e-006	-0.0109252
-2.537231e-006	0.00946288
-2.536831e-006	-0.0109252
-2.536431e-006	-0.000731159
-2.536031e-006	-0.000731159
-2.535631e-006	-0.000731159
-2.535231e-006	-0.000731159
-2.534831e-006	0.0196569
-2.534431e-006	-0.0109252
-2.534031e-006	-0.000731159
-2.533631e-006	-0.000731159
-2.533231e-006	-0.000731159
-2.532831e-006	-0.000731159
-2.532431e-006	-0.000731159
-2.532031e-006	-0.0109252
-2.531631e-006	-0.000731159
-2.531231e-006	-0.000731159
-2.530831e-006	-0.0109252
-2.530431e-006	-0.0109252
-2.530031e-006	-0.0109252
-2.529631e-006	-0.0109252
-2.529231e-006	-0.0109252
-2.528831e-006	-0.0211192
-2.528431e-006	-0.0109252
-2.528031e-006	-0.0109252
-2.527631e-006	-0.000731159
-2.527231e-006	-0.0109252
-2.526831e-006	-0.000731159
-2.526431e-006	-0.000731159
-2.526031e-006	-0.0109252
-2.525631e-006	-0.0109252
-2.525231e-006	-0.0109252
-2.524831e-006	0.00946288
-2.524431e-006	0.00946288
-2.524031e-006	-0.0109252
-2.523631e-006	-0.0109252
-2.523231e-006	-0.000731159
-2.522831e-006	0.00946288
-2.522431e-006	-0.000731159
-2.522031e-006	-0.0109252
-2.521631e-006	-0.000731159
-2.521231e-006	0.0196569
-2.520831e-006	-0.0109252
-2.520431e-006	-0.0109252
-2.520031e-006	-0.000731159
-2.519631e-006	-0.0109252
-2.519231e-006	-0.000731159
-2.518831e-006	-0.000731159
-2.518431e-006	0.00946288
-2.518031e-006	0.00946288
-2.517631e-006	0.00946288
-2.517231e-006	0.00946288
-2.516831e-006	0.00946288
-2.516431e-006	0.00946288
-2.516031e-006	0.00946288
-2.515631e-006	-0.000731159
-2.515231e-006	-0.000731159
-2.514831e-006	0.00946288
-2.514431e-006	-0.0109252
-2.514031e-006	0.00946288
-2.513631e-006	-0.000731159
-2.513231e-006	-0.000731159
-2.512831e-006	-0.0109252
-2.512431e-006	0.00946288
-2.512031e-006	-0.000731159
-2.511631e-006	-0.000731159
-2.511231e-006	-0.0109252
-2.510831e-006	-0.000731159
-2.510431e-006	-0.000731159
-2.510031e-006	-0.0109252
-2.509631e-006	-0.0109252
-2.509231e-006	-0.0109252
-2.508831e-006	-0.000731159
-2.508431e-006	0.00946288
-2.508031e-006	-0.0109252
-2.507631e-006	-0.000731159
-2.507231e-006	-0.0211192
-2.506831e-006	-0.000731159
-2.506431e-006	0.00946288
-2.506031e-006	0.00946288
-2.505631e-006	-0.0109252
-2.505231e-006	0.0196569
-2.504831e-006	-0.0109252
-2.504431e-006	-0.0109252
-2.504031e-006	-0.0109252
-2.503631e-006	-0.000731159
-2.503231e-006	-0.000731159
-2.502831e-006	-0.0109252
-2.502431e-006	-0.000731159
-2.502031e-006	-0.000731159
-2.501631e-006	-0.0109252
-2.501231e-006	-0.000731159
-2.500831e-006	-0.000731159
-2.500431e-006	-0.000731159
-2.500031e-006	-0.000731159
-2.499631e-006	-0.000731159
-2.499231e-006	-0.000731159
-2.498831e-006	0.00946288
-2.498431e-006	-0.0313133
-2.498031e-006	-0.0109252
-2.497631e-006	-0.000731159
-2.497231e-006	-0.000731159
-2.496831e-006	-0.0211192
-2.496431e-006	-0.000731159
-2.496031e-006	-0.000731159
-2.495631e-006	0.00946288
-2.495231e-006	-0.000731159
-2.494831e-006	-0.0109252
-2.494431e-006	0.00946288
-2.494031e-006	-0.000731159
-2.493631e-006	-0.0109252
-2.493231e-006	0.0196569
-2.492831e-006	0.00946288
-2.492431e-006	0.00946288
-2.492031e-006	-0.0109252
-2.491631e-006	-0.000731159
-2.491231e-006	-0.000731159
-2.490831e-006	-0.0109252
-2.490431e-006	-0.000731159
-2.490031e-006	-0.000731159
-2.489631e-006	0.00946288
-2.489231e-006	0.00946288
-2.488831e-006	-0.000731159
-2.488431e-006	-0.0109252
-2.488031e-006	-0.000731159
-2.487631e-006	-0.0109252
-2.487231e-006	0.00946288
-2.486831e-006	-0.0109252
-2.486431e-006	-0.000731159
-2.486031e-006	0.00946288
-2.485631e-006	-0.000731159
-2.485231e-006	0.00946288
-2.484831e-006	-0.000731159
-2.484431e-006	0.00946288
-2.484031e-006	-0.000731159
-2.483631e-006	-0.000731159
-2.483231e-006	-0.0109252
-2.482831e-006	0.0196569
-2.482431e-006	-0.0109252
-2.482031e-006	-0.0109252
-2.481631e-006	-0.000731159
-2.481231e-006	-0.0109252
-2.480831e-006	-0.000731159
-2.480431e-006	0.00946288
-2.480031e-006	-0.000731159
-2.479631e-006	0.00946288
-2.479231e-006	-0.0109252
-2.478831e-006	-0.0109252
-2.478431e-006	-0.0109252
-2.478031e-006	-0.000731159
-2.477631e-006	-0.0109252
-2.477231e-006	-0.000731159
-2.476831e-006	-0.000731159
-2.476431e-006	0.00946288
-2.476031e-006	-0.000731159
-2.475631e-006	-0.0109252
-2.475231e-006	0.00946288
-2.474831e-006	0.00946288
-2.474431e-006	-0.0109252
-2.474031e-006	-0.0109252
-2.473631e-006	0.00946288
-2.473231e-006	0.0196569
-2.472831e-006	-0.0211192
-2.472431e-006	-0.000731159
-2.472031e-006	-0.000731159
-2.471631e-006	-0.000731159
-2.471231e-006	-0.0109252
-2.470831e-006	-0.000731159
-2.470431e-006	-0.000731159
-2.470031e-006	-0.0109252
-2.469631e-006	-0.000731159
-2.469231e-006	-0.000731159
-2.468831e-006	-0.000731159
-2.468431e-006	-0.0109252
-2.468031e-006	-0.000731159
-2.467631e-006	-0.000731159
-2.467231e-006	0.00946288
-2.466831e-006	0.00946288
-2.466431e-006	-0.0109252
-2.466031e-006	0.00946288
-2.465631e-006	-0.000731159
-2.465231e-006	0.00946288
-2.464831e-006	0.00946288
-2.464431e-006	0.00946288
-2.464031e-006	-0.000731159
-2.463631e-006	0.029851
-2.463231e-006	0.00946288
-2.462831e-006	-0.000731159
-2.462431e-006	-0.000731159
-2.462031e-006	0.00946288
-2.461631e-006	0.00946288
-2.461231e-006	0.00946288
-2.460831e-006	0.00946288
-2.460431e-006	0.00946288
-2.460031e-006	-0.0109252
-2.459631e-006	-0.0109252
-2.459231e-006	-0.000731159
-2.458831e-006	-0.0109252
-2.458431e-006	-0.0109252
-2.458031e-006	0.0196569
-2.457631e-006	-0.0211192
-2.457231e-006	-0.0109252
-2.456831e-006	-0.0109252
-2.456431e-006	-0.0211192
