LECROYWR640Zi	640	Waveform
Segments	1	SegmentSize	25002
Segment	TrigTime	TimeSinceSegment1
#1	08-Nov-2019 23:30:53	0                 
Time	Ampl
-2.6603328e-006	0.00946288
-2.6599328e-006	-0.000731159
-2.6595328e-006	-0.0109252
-2.6591328e-006	0.00946288
-2.6587328e-006	0.0196569
-2.6583328e-006	-0.000731159
-2.6579328e-006	-0.0109252
-2.6575328e-006	-0.0109252
-2.6571328e-006	-0.0109252
-2.6567328e-006	-0.0109252
-2.6563328e-006	-0.0211192
-2.6559328e-006	-0.0109252
-2.6555328e-006	-0.000731159
-2.6551328e-006	0.00946288
-2.6547328e-006	-0.0109252
-2.6543328e-006	-0.000731159
-2.6539328e-006	-0.000731159
-2.6535328e-006	-0.0109252
-2.6531328e-006	-0.0109252
-2.6527328e-006	0.0196569
-2.6523328e-006	0.00946288
-2.6519328e-006	0.00946288
-2.6515328e-006	-0.0109252
-2.6511328e-006	-0.000731159
-2.6507328e-006	0.00946288
-2.6503328e-006	-0.000731159
-2.6499328e-006	-0.000731159
-2.6495328e-006	0.00946288
-2.6491328e-006	-0.000731159
-2.6487328e-006	0.029851
-2.6483328e-006	-0.0109252
-2.6479328e-006	-0.000731159
-2.6475328e-006	-0.0109252
-2.6471328e-006	-0.0109252
-2.6467328e-006	0.00946288
-2.6463328e-006	0.00946288
-2.6459328e-006	-0.000731159
-2.6455328e-006	0.0196569
-2.6451328e-006	0.00946288
-2.6447328e-006	0.00946288
-2.6443328e-006	0.00946288
-2.6439328e-006	-0.000731159
-2.6435328e-006	-0.0109252
-2.6431328e-006	-0.000731159
-2.6427328e-006	0.00946288
-2.6423328e-006	0.00946288
-2.6419328e-006	-0.000731159
-2.6415328e-006	-0.000731159
-2.6411328e-006	0.00946288
-2.6407328e-006	-0.000731159
-2.6403328e-006	-0.000731159
-2.6399328e-006	-0.000731159
-2.6395328e-006	0.00946288
-2.6391328e-006	-0.000731159
-2.6387328e-006	-0.000731159
-2.6383328e-006	-0.0109252
-2.6379328e-006	-0.0109252
-2.6375328e-006	-0.0313133
-2.6371328e-006	-0.0211192
-2.6367328e-006	-0.0109252
-2.6363328e-006	-0.000731159
-2.6359328e-006	0.00946288
-2.6355328e-006	-0.0109252
-2.6351328e-006	-0.0109252
-2.6347328e-006	-0.0109252
-2.6343328e-006	-0.0109252
-2.6339328e-006	-0.0211192
-2.6335328e-006	-0.000731159
-2.6331328e-006	-0.0109252
-2.6327328e-006	-0.000731159
-2.6323328e-006	-0.0109252
-2.6319328e-006	-0.0109252
-2.6315328e-006	-0.000731159
-2.6311328e-006	-0.000731159
-2.6307328e-006	-0.0109252
-2.6303328e-006	-0.0109252
-2.6299328e-006	-0.0109252
-2.6295328e-006	-0.000731159
-2.6291328e-006	-0.0109252
-2.6287328e-006	-0.0109252
-2.6283328e-006	-0.0109252
-2.6279328e-006	0.00946288
-2.6275328e-006	-0.0109252
-2.6271328e-006	0.00946288
-2.6267328e-006	-0.0211192
-2.6263328e-006	-0.000731159
-2.6259328e-006	-0.0109252
-2.6255328e-006	0.00946288
-2.6251328e-006	-0.000731159
-2.6247328e-006	-0.000731159
-2.6243328e-006	-0.000731159
-2.6239328e-006	0.0196569
-2.6235328e-006	0.0196569
-2.6231328e-006	0.0196569
-2.6227328e-006	-0.000731159
-2.6223328e-006	0.00946288
-2.6219328e-006	-0.0109252
-2.6215328e-006	-0.0109252
-2.6211328e-006	-0.0109252
-2.6207328e-006	0.00946288
-2.6203328e-006	0.00946288
-2.6199328e-006	0.0196569
-2.6195328e-006	-0.0109252
-2.6191328e-006	-0.000731159
-2.6187328e-006	-0.000731159
-2.6183328e-006	-0.000731159
-2.6179328e-006	0.00946288
-2.6175328e-006	0.00946288
-2.6171328e-006	-0.000731159
-2.6167328e-006	-0.000731159
-2.6163328e-006	-0.0109252
-2.6159328e-006	-0.000731159
-2.6155328e-006	0.0196569
-2.6151328e-006	0.00946288
-2.6147328e-006	-0.000731159
-2.6143328e-006	0.00946288
-2.6139328e-006	0.00946288
-2.6135328e-006	0.00946288
-2.6131328e-006	-0.0109252
-2.6127328e-006	-0.0109252
-2.6123328e-006	-0.000731159
-2.6119328e-006	-0.000731159
-2.6115328e-006	-0.0109252
-2.6111328e-006	-0.000731159
-2.6107328e-006	-0.0109252
-2.6103328e-006	-0.000731159
-2.6099328e-006	-0.0109252
-2.6095328e-006	-0.0109252
-2.6091328e-006	-0.000731159
-2.6087328e-006	-0.000731159
-2.6083328e-006	0.00946288
-2.6079328e-006	-0.000731159
-2.6075328e-006	-0.000731159
-2.6071328e-006	-0.000731159
-2.6067328e-006	-0.0109252
-2.6063328e-006	-0.000731159
-2.6059328e-006	0.00946288
-2.6055328e-006	-0.0109252
-2.6051328e-006	-0.0109252
-2.6047328e-006	-0.0109252
-2.6043328e-006	-0.0109252
-2.6039328e-006	-0.0109252
-2.6035328e-006	-0.0109252
-2.6031328e-006	-0.0109252
-2.6027328e-006	-0.0109252
-2.6023328e-006	-0.000731159
-2.6019328e-006	0.00946288
-2.6015328e-006	0.00946288
-2.6011328e-006	-0.000731159
-2.6007328e-006	0.00946288
-2.6003328e-006	0.00946288
-2.5999328e-006	-0.0109252
-2.5995328e-006	-0.0109252
-2.5991328e-006	-0.0109252
-2.5987328e-006	-0.0109252
-2.5983328e-006	-0.0109252
-2.5979328e-006	-0.0109252
-2.5975328e-006	0.0196569
-2.5971328e-006	-0.0109252
-2.5967328e-006	-0.0109252
-2.5963328e-006	-0.0109252
-2.5959328e-006	-0.000731159
