LECROYWR640Zi	640	Waveform
Segments	1	SegmentSize	25001
Segment	TrigTime	TimeSinceSegment1
#1	08-Nov-2019 23:30:53	0                 
Time	Ampl
-2.6602153e-006	0.00946288
-2.6598153e-006	-0.000731159
-2.6594153e-006	-0.000731159
-2.6590153e-006	-0.000731159
-2.6586153e-006	-0.000731159
-2.6582153e-006	-0.0109252
-2.6578153e-006	0.00946288
-2.6574153e-006	-0.0211192
-2.6570153e-006	-0.0109252
-2.6566153e-006	0.00946288
-2.6562153e-006	-0.000731159
-2.6558153e-006	-0.0109252
-2.6554153e-006	-0.000731159
-2.6550153e-006	-0.0109252
-2.6546153e-006	0.00946288
-2.6542153e-006	-0.0109252
-2.6538153e-006	0.00946288
-2.6534153e-006	0.00946288
-2.6530153e-006	-0.000731159
-2.6526153e-006	-0.0109252
-2.6522153e-006	-0.000731159
-2.6518153e-006	0.00946288
-2.6514153e-006	-0.0109252
-2.6510153e-006	-0.0211192
-2.6506153e-006	-0.0211192
-2.6502153e-006	-0.0211192
-2.6498153e-006	-0.0109252
-2.6494153e-006	-0.0109252
-2.6490153e-006	-0.000731159
-2.6486153e-006	-0.0109252
-2.6482153e-006	-0.000731159
-2.6478153e-006	-0.0109252
-2.6474153e-006	0.00946288
-2.6470153e-006	-0.0109252
-2.6466153e-006	-0.000731159
-2.6462153e-006	-0.0109252
-2.6458153e-006	-0.000731159
-2.6454153e-006	0.00946288
-2.6450153e-006	-0.000731159
-2.6446153e-006	-0.0109252
-2.6442153e-006	-0.000731159
-2.6438153e-006	-0.000731159
-2.6434153e-006	-0.0109252
-2.6430153e-006	-0.0109252
-2.6426153e-006	-0.0109252
-2.6422153e-006	0.00946288
-2.6418153e-006	-0.000731159
-2.6414153e-006	-0.0211192
-2.6410153e-006	-0.0109252
-2.6406153e-006	-0.0109252
-2.6402153e-006	-0.0109252
-2.6398153e-006	-0.0109252
-2.6394153e-006	-0.0109252
-2.6390153e-006	-0.0109252
-2.6386153e-006	0.00946288
-2.6382153e-006	-0.0211192
-2.6378153e-006	-0.0109252
-2.6374153e-006	-0.000731159
-2.6370153e-006	-0.000731159
-2.6366153e-006	-0.0109252
-2.6362153e-006	-0.000731159
-2.6358153e-006	0.00946288
-2.6354153e-006	0.0196569
-2.6350153e-006	-0.000731159
-2.6346153e-006	-0.000731159
-2.6342153e-006	0.00946288
-2.6338153e-006	-0.000731159
-2.6334153e-006	-0.000731159
-2.6330153e-006	0.00946288
-2.6326153e-006	0.00946288
-2.6322153e-006	0.00946288
-2.6318153e-006	-0.0211192
-2.6314153e-006	-0.000731159
-2.6310153e-006	0.0196569
-2.6306153e-006	0.00946288
-2.6302153e-006	-0.000731159
-2.6298153e-006	0.00946288
-2.6294153e-006	0.00946288
-2.6290153e-006	-0.0109252
-2.6286153e-006	-0.000731159
-2.6282153e-006	-0.0211192
-2.6278153e-006	-0.000731159
-2.6274153e-006	0.00946288
-2.6270153e-006	-0.000731159
-2.6266153e-006	-0.0109252
-2.6262153e-006	-0.0211192
-2.6258153e-006	-0.0109252
-2.6254153e-006	-0.0211192
-2.6250153e-006	-0.0109252
-2.6246153e-006	-0.0109252
-2.6242153e-006	-0.000731159
-2.6238153e-006	-0.000731159
-2.6234153e-006	-0.0109252
-2.6230153e-006	0.00946288
-2.6226153e-006	-0.000731159
-2.6222153e-006	-0.0109252
-2.6218153e-006	0.00946288
-2.6214153e-006	0.00946288
-2.6210153e-006	-0.0109252
-2.6206153e-006	-0.0109252
-2.6202153e-006	-0.000731159
-2.6198153e-006	-0.000731159
-2.6194153e-006	-0.0109252
-2.6190153e-006	-0.0109252
-2.6186153e-006	-0.0109252
-2.6182153e-006	-0.000731159
-2.6178153e-006	-0.0109252
-2.6174153e-006	0.00946288
-2.6170153e-006	-0.0109252
-2.6166153e-006	-0.0109252
-2.6162153e-006	-0.000731159
-2.6158153e-006	-0.0211192
-2.6154153e-006	-0.0109252
-2.6150153e-006	-0.000731159
-2.6146153e-006	-0.0109252
-2.6142153e-006	-0.0109252
-2.6138153e-006	-0.0109252
-2.6134153e-006	-0.0109252
-2.6130153e-006	-0.0109252
-2.6126153e-006	-0.000731159
-2.6122153e-006	-0.0109252
-2.6118153e-006	-0.000731159
-2.6114153e-006	-0.0109252
-2.6110153e-006	-0.000731159
-2.6106153e-006	-0.000731159
-2.6102153e-006	-0.0109252
-2.6098153e-006	0.00946288
-2.6094153e-006	-0.000731159
-2.6090153e-006	-0.0109252
-2.6086153e-006	-0.000731159
-2.6082153e-006	-0.0109252
-2.6078153e-006	-0.000731159
-2.6074153e-006	-0.000731159
-2.6070153e-006	-0.000731159
-2.6066153e-006	-0.000731159
-2.6062153e-006	-0.0109252
-2.6058153e-006	-0.000731159
-2.6054153e-006	0.00946288
-2.6050153e-006	-0.0109252
-2.6046153e-006	-0.0109252
-2.6042153e-006	-0.0109252
-2.6038153e-006	-0.000731159
-2.6034153e-006	0.00946288
-2.6030153e-006	-0.000731159
-2.6026153e-006	-0.000731159
-2.6022153e-006	-0.000731159
-2.6018153e-006	0.00946288
-2.6014153e-006	-0.0109252
-2.6010153e-006	-0.000731159
-2.6006153e-006	-0.0109252
-2.6002153e-006	-0.000731159
-2.5998153e-006	-0.0211192
-2.5994153e-006	-0.000731159
-2.5990153e-006	-0.0211192
-2.5986153e-006	-0.0109252
-2.5982153e-006	-0.0109252
-2.5978153e-006	-0.000731159
-2.5974153e-006	-0.0211192
-2.5970153e-006	-0.0109252
-2.5966153e-006	-0.0313133
-2.5962153e-006	-0.0211192
-2.5958153e-006	-0.000731159
